"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2680","2780","2960","2700","2690","1880","1920","2350","2540","2250","2430","2500","2640","2690","2560","2690","2840","2890","3230","3330","3670","3720","3780","3740","3890","3300","3150","3010","3000","",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3950","4110","4300","4600","4930","5210","5290","5470","5500","5260","6510","6640","6800","7040","7500","8070","8750","9440","9780","9900","10280","11090","13810","14470","13680","13700","13800","14050","14310","",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1720","1630","1770","1810","1700","1750","1710","1760","1750","1770","1800","1840","1860","1890","1930","2000","2070","2100","2160","2190","2250","2340","2510","2640","2720","2720","2880","3050","3160","",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1140","1160","1280","1380","1630","1850","1920","2130","2360","2600","2750","2870","2980","3130","3480","3730","4070","5210","5560","5470","5440","5730","5580","5600","5460","5770","6100","6410","6900","",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4830","5080","5540","5930","6250","6450","6520","6830","7150","7250","7480","7770","8020","8380","8890","9430","10360","11400","12080","11730","12310","12930","14850","15420","15460","16310","17230","18040","18670","",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5071.74167544904","5116.20102959452","5443.18502168873","5865.3209344016","6006.17501872715","6420.78525502252","6843.49070054099","7411.38872511094","7738.49113131671","8109.59295055344","8487.53081060028","8776.45344499442","9253.71819701502","9974.69672277495","10742.9568387918","11352.7756980307","12894.0322684439","13667.8965780112","14121.6413859541","13560.1361650861","13873.3686778662","13814.6305253493","14057.6692819539","14444.333550024","14446.7193471434","14435.9367340405","14215.4935546652","14668.0855579662","14826.4372813647","",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25350","25930","26750","26940","26440","26790","27110","25820","25480","25160","25100","24640","25650","","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59910","61840","42530","37510","36380","38100","39910","41640","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13250","13450","14640","14740","15600","16210","16460","16800","19320","18530","19460","21240","22340","23260","24460","26320","28320","30750","34260","33800","32940","34190","31610","30020","29240","31510","33000","35750","39880","",
"Czech Republic","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11720","12070","12690","13650","14380","14540","14710","15060","15900","17080","17560","18780","19840","20970","22330","24450","26040","25670","25640","26620","27250","28670","30090","31420","33550","36120","38180","",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19640","21030","21750","21870","22750","23490","24040","24520","25200","26110","27060","28180","28870","29570","31490","32060","34700","36780","38160","37680","39760","43630","44400","46040","47950","48770","51810","54370","55980","",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4210","4500","4880","4980","5130","5400","",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4290","4450","4650","4870","4880","5090","5270","5550","5920","5870","5740","6160","5990","6510","6770","7090","7970","8630","9480","9560","9820","9980","9570","9930","10150","10370","10760","12200","10900","",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17590","18360","19170","19690","21170","22250","23230","24470","25450","26370","28020","29020","30260","30510","32950","34430","37740","39160","41740","40770","43740","45340","45820","48210","49640","50560","53110","56360","57980","",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2680","3550","3960","4210","4360","4620","4940","5380","5710","6020","6350","6560","6860","6640","6780","7770","8670","9600","10110","10160","11000","11410","11430","11890","12820","14130","15420","15940","17330","",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6660","6510","6690","6630","6530","6710","6980","7120","7490","7690","8030","8520","8940","9660","10150","10840","11310","12130","12550","12600","13060","13360","13070","12780","12710","11700","11520","11370","","",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1404.74800181921","1542.5214117316","1716.23452802537","1919.30822908357","2145.19263238542","2351.67676050056","2576.49523915131","2767.30103610516","2791.065856972","2959.74084166506","3236.71298305055","3502.57049004603","3810.72243450287","4180.29240321398","4635.46339615238","5162.48731769803","5860.40682378914","6699.26660837269","7361.52323038143","7861.00667388247","8654.55775307521","9467.61449913509","10301.0005632163","10843.9442515896","11397.3658619531","11676.8255435183","12154.7722718877","12788.1964380511","13797.4382972515","",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2672.32349189644","2845.98549114921","2976.59162607478","3141.34690473561","3245.31219756215","3365.4784699418","3547.82035067862","3698.68696900464","3763.0319490937","3824.79400872694","4047.52411531281","4156.57623082209","4241.85176664779","4478.03570012341","4810.49074451089","5178.20390964308","5659.56688291851","6096.28115619213","6389.30133182677","6491.45254616835","6887.79966878233","7284.17801598262","7635.33742460808","7868.55436193441","8108.97511521343","8194.51866615978","8470.60482590134","8905.46747071743","9392.58392899077","",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3179.1448613772","3420.45710661476","3643.26581649631","3886.44773578744","4175.70417147275","4470.30494648064","4787.86740345968","5043.73118668333","5040.31072471681","5268.54667255694","5686.67645023135","5996.88055125614","6375.59624482954","6797.63078566532","7382.09536777862","8001.94511675357","8826.03608162778","9785.0536544262","10426.3992531577","10774.4264199852","11703.1046036537","12564.7629058895","13434.5544235546","14102.071852075","14666.366187576","15036.63119656","15479.0065594886","16165.7052526499","17188.6683660722","",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6506.70718755181","6329.14740762984","5772.20463784019","5532.17741686405","5021.07632784108","5001.70230179063","5035.24252159218","5200.46226701652","5208.48785551237","5361.37040589933","6011.23537322218","6400.60747619017","6868.82576116973","7535.37493454453","8479.97507896071","9502.62885413385","11301.2339349633","12640.3161024154","14494.4668988696","13989.6768563247","14942.3914686067","16444.1349929154","17390.7571955939","18644.6089793746","19188.1139013879","19044.7612065521","19573.5492553402","20624.9809460632","21877.5531014062","",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11520.8620062476","11857.9754889355","11912.6971488848","12000.8349675593","12239.2023168204","12603.5592134708","13030.2241017463","13618.6553840647","14137.2053287675","14688.2272859013","15844.1168985139","16633.4303187553","17411.7662291719","18070.1685357064","19221.6027530821","20279.9640424296","22399.9979115356","23911.5685097814","25446.8807875656","24872.402685647","25954.7785270617","27477.1981303048","28205.9737053954","29449.5798158674","30211.8127689987","30684.5766699839","32136.5948321824","33836.3166285902","35243.3606084216","",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4450","4750","4920","5060","5290","5420","5480","5720","5820","5370","5450","5790","6050","6210","6760","7270","7720","7970","8640","8640","8950","9700","10160","11000","11540","10870","10830","11350","11530","",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3620","3820","3990","4120","4280","4490","4710","4950","5200","5460","5820","6050","6190","6370","6690","7010","7640","8290","8890","9140","9330","9440","10660","10710","10690","11160","10850","10800","11350","",
